entity, label, occurrences
Nathan Curtis, FAC, 7
2017, CARDINAL, 7
LUCY Fallon, ORG, 7
Five, CARDINAL, 7
Peter Whalley, PERSON, 7
Donald Trump's, PERSON, 7
Denise, PERSON, 7
The Sun Coronation Street’s Bethany Platt, ORG, 7
ISIS, ORG, 7
200, CARDINAL, 7
North Korea, GPE, 7
The Boston Globe, ORG, 7
2006, DATE, 7
28-year-old, DATE, 7
Alice Barlow, PERSON, 7
American, NORP, 7
Manchester, LOC, 7
Texas Tech University, ORG, 7
Trish Winterman, PERSON, 7
the years, DATE, 7
Bradley Walsh, PERSON, 7
Hanni Treweek, PERSON, 7
Westminster, GPE, 7
Adam Rickitt, PERSON, 7
Scotland Yard, ORG, 7
77-year-old, DATE, 7
Leanne’s, ORG, 7
Ohio, GPE, 7
2016, DATE, 7
Iain Rogerson, PERSON, 7
15-year-old, DATE, 7
October, DATE, 7
Kylie, PERSON, 7
64-year-old, DATE, 7
Helen Worth, PERSON, 7
Johnny Connor, ORG, 7
Prince Charles, PERSON, 7
Peter Barlow's, PERSON, 7
Peter Barlow’s, PERSON, 7
Asian, NORP, 7
Brazil, GPE, 7
42-year-old, DATE, 7
Manila, GPE, 7
Langley, ORG, 7
| Daily Star, ORG, 7
Manchester, GPE, 7
| Metro News, ORG, 7
South Africa, GPE, 7
Roger Federer, PERSON, 7
four years, DATE, 7
SHE, ORG, 7
Seb, PERSON, 7
Oxford Circus, ORG, 7
Salford Cathedral, ORG, 7
2012, DATE, 7
Neighbours, ORG, 7
Kabin, PERSON, 7
Halloween, DATE, 7
Julia Goulding, PERSON, 7
LA Times, ORG, 7
29, CARDINAL, 7
Cathy, PERSON, 7
Kylie Platt, PERSON, 7
Texas Tech, ORG, 7
Leon Ockenden, PERSON, 7
KEN Barlow, PERSON, 7
Gemma Winter, ORG, 6
Manchester Arena, ORG, 6
Samia, PERSON, 6
Gherkin, PERSON, 6
Newcastle, GPE, 6
6, CARDINAL, 6
Piers Morgan, PERSON, 6
ITV’s, ORG, 6
Jim Moir, PERSON, 6
Summer Spellman, PERSON, 6
several hours, TIME, 6
41, CARDINAL, 6
winter, DATE, 6
CDC, ORG, 6
last night's, TIME, 6
Gareth Berliner, PERSON, 6
Glastonbury, ORG, 6
Nathan's, ORG, 6
John Michie's, PERSON, 6
Army, ORG, 6
Georgia May Foote's, ORG, 6
more than 30 years, DATE, 6
DIE, ORG, 6
Strictly Come Dancing, WORK_OF_ART, 6
Simon Delaney, PERSON, 6
Hong Kong, GPE, 6
