,entity,label,occurrences
629,Phil Hogan,PERSON,33
630,Sam Aston,PERSON,33
631,Oliver,PERSON,33
632,"4,000",CARDINAL,33
633,2008,DATE,33
634,Third,ORDINAL,33
635,Róisín Ingle,PERSON,33
636,600,CARDINAL,33
637,earlier today,TIME,33
638,Eamon Ryan,PERSON,33
639,the Pandemic Unemployment Payment,ORG,33
640,the last two weeks,DATE,33
641,Zero,CARDINAL,33
642,52,CARDINAL,33
643,four years,DATE,33
644,Mike Pence,PERSON,33
645,CORONATION Street,ORG,32
646,just hours,TIME,32
647,the Health Service Executive,ORG,32
648,32-year-old,DATE,32
649,FIVE,CARDINAL,32
650,61,DATE,32
651,"15,000",CARDINAL,32
652,Jack,PERSON,32
653,Paschal Donohoe,ORG,32
654,37,DATE,32
655,42,DATE,32
656,Kim Jong-un,PERSON,32
657,sixth,ORDINAL,32
658,76,CARDINAL,32
659,Stacey,PERSON,32
660,Joe Wicks,PERSON,32
661,30-year-old,DATE,32
662,one year,DATE,32
663,Poland,GPE,32
664,Republican,NORP,32
665,29,DATE,32
666,CHINESE,NORP,32
667,Alison King,PERSON,32
668,25,DATE,32
669,FDA,ORG,32
670,Kawasaki,GPE,32
671,43,CARDINAL,32
672,57,CARDINAL,32
673,Peter Andre,PERSON,32
674,June 29,DATE,31
675,Ireland The Department of Health,ORG,31
676,Kate Middleton,PERSON,31
677,26-year-old,DATE,31
678,Angela Merkel,PERSON,31
679,,GPE,31
680,the end of the year,DATE,31
681,Cuomo,PERSON,31
682,Taoiseach Micheal Martin,PERSON,31
683,earlier this week,DATE,31
684,54,DATE,31
685,the Irish Independent,ORG,31
686,51,DATE,31
687,CNN,ORG,31
688,just days,DATE,31
689,Dozens,CARDINAL,31
690,Gemma,PERSON,31
691,Norma Foley,PERSON,30
692,Rick Neelan,PERSON,30
693,49,DATE,30
694,33-year-old,DATE,30
695,St Patrick's Day,PERSON,30
696,Oxford University,ORG,30
697,Geoff,NORP,30
698,A&E,ORG,30
699,70s,DATE,30
700,249,CARDINAL,30
701,15%,PERCENT,30
702,Man City,GPE,30
703,Donohoe,PERSON,30
704,Leo,PERSON,30
705,Abi Franklin,PERSON,30
706,the European Union,ORG,30
707,66,CARDINAL,30
708,Chelsea,PERSON,30
709,David,PERSON,30
710,2018,DATE,30
711,Gemma Winter,PERSON,30
712,2022,DATE,30
713,Kathryn Thomas,PERSON,30
714,43,DATE,30
715,Bill Roache,PERSON,30
716,Johns Hopkins University,ORG,30
717,Independent.ie Ireland,GPE,29
718,Eileen,PERSON,29
719,47,CARDINAL,29
720,EMA,ORG,29
721,later this year,DATE,29
722,five years,DATE,29
723,Kim Kardashian,PERSON,29
724,Covid-related,PERSON,29
725,44,DATE,29
726,Philippines,GPE,29
727,Congress,ORG,29
728,"40,000",CARDINAL,29
729,"1,000",MONEY,29
730,Rita Wilson,PERSON,29
731,Miriam Stoppard,PERSON,29
732,more than half,CARDINAL,29
733,Taoiseach Micheál Martin,ORG,29
734,Bruno Langley,PERSON,29
735,Lidl,PERSON,29
736,DUP,ORG,29
737,Army,ORG,29
738,Dundalk,GPE,29
739,Una Healy,PERSON,29
740,ECB,ORG,29
741,World Cup,EVENT,29
742,Ryan,PERSON,29
743,Robert,PERSON,29
744,four months,DATE,28
745,McDonald,ORG,28
746,Direct Provision,ORG,28
747,Wexford,GPE,28
748,Moderna,PERSON,28
749,Emmanuel Macron,PERSON,28
750,Ben Price,PERSON,28
751,NBA,ORG,28
752,Lockdown Ireland,PERSON,28
753,April 12,DATE,28
754,CDC,ORG,28
755,Jair Bolsonaro,PERSON,28
756,Bohemians,NORP,28
757,autumn,DATE,28
758,44,CARDINAL,28
759,Meghan Markle,PERSON,28
760,Jim McDonald,PERSON,28
761,mid-March,DATE,28
762,FIFA,ORG,28
763,North’s,GPE,28
764,This Morning,TIME,28
765,Tánaiste,PERSON,28
766,70,DATE,27
767,Thai,NORP,27
768,May 5,DATE,27
769,46,DATE,27
770,earlier this month,DATE,27
771,Cork University Hospital,ORG,27
772,Shannon,FAC,27
773,Phillip Schofield,PERSON,27
774,Christmas Day,DATE,27
775,"30,000",CARDINAL,27
776,10%,PERCENT,27
777,Tisha Merry,PERSON,27
778,DONALD Trump,PERSON,27
779,The Irish Sun PIERS Morgan,ORG,27
780,60th,ORDINAL,27
781,Apple,ORG,27
782,Shamrock Rovers,ORG,27
783,31-year-old,DATE,27
784,Francis,PERSON,27
785,David Nabarro,PERSON,27
786,60%,PERCENT,27
787,Rome,GPE,27
788,Johnson & Johnson,ORG,27
789,Caribbean,LOC,27
790,Fauci,PERSON,27
791,59,CARDINAL,27
792,CUH,ORG,27
793,Craig Tinker,PERSON,27
794,Italians,NORP,27
795,40%,PERCENT,27
796,Morgan,PERSON,27
797,Emily,PERSON,27
798,Todd Grimshaw,PERSON,27
799,TDs,ORG,27
800,21,DATE,27
801,Budget,ORG,26
802,Guinness,ORG,26
803,Vietnam,GPE,26
804,Tracy Barlow,PERSON,26
805,42,CARDINAL,26
806,36-year-old,DATE,26
807,Tim Metcalfe,PERSON,26
808,four-year-old,DATE,26
809,’ve,ORG,26
810,456,CARDINAL,26
811,70%,PERCENT,26
812,just 24 hours,TIME,26
813,U.S.,GPE,26
814,Conor McGregor,PERSON,26
815,2016,DATE,26
816,three-week,DATE,26
817,North Korea,GPE,26
818,85,DATE,26
819,#,CARDINAL,26
820,Taylor,PERSON,26
821,John Waters,PERSON,26
822,156,CARDINAL,25
823,Leitrim,ORG,25
824,three-month,DATE,25
825,Roy Cropper,PERSON,25
826,Tina O'Brien,PERSON,25
827,"7,000",CARDINAL,25
828,Ian Bartholomew,PERSON,25
829,21-year-old,DATE,25
830,Ali Neeson,PERSON,25
831,More than half,CARDINAL,25
832,last weekend,DATE,25
833,"1,500",CARDINAL,25
834,seventh,ORDINAL,25
835,Simon Barlow,PERSON,25
836,Covid-hit,PERSON,25
837,Ciara Kelly,PERSON,25
838,the next two weeks,DATE,25
839,Niall Horan,PERSON,25
840,Millions,CARDINAL,25
841,The White House,ORG,25
842,Ken,PERSON,25
843,Helen McEntee,PERSON,25
844,Rana Habeeb,PERSON,25
845,Almost half,CARDINAL,25
846,Leinster,PERSON,25
847,the last seven days,DATE,25
848,30%,PERCENT,25
849,107,CARDINAL,25
850,EU,GPE,25
851,"10,000",MONEY,25
852,2km,QUANTITY,25
853,28-year-old,DATE,24
854,these days,DATE,24
855,Audrey Roberts,PERSON,24
856,month,DATE,24
857,Hollyoaks,ORG,24
858,429,CARDINAL,24
859,Kamala Harris,PERSON,24
860,Publicans,NORP,24
861,Christmas Eve,DATE,24
862,Celeb,ORG,24
863,two-metre,QUANTITY,24
864,50%,PERCENT,24
865,Seanad,PERSON,24
866,two-month,DATE,24
867,"2,500",CARDINAL,24
868,14,DATE,24
869,The Irish Sun CORONATION Street,WORK_OF_ART,24
870,Indian,NORP,24
871,Norway,GPE,24
872,74,DATE,24
873,Level 5,EVENT,24
874,the end of March,DATE,24
875,Republicans,NORP,24
876,Scott Sinclair,PERSON,24
877,Botox,ORG,24
878,68,CARDINAL,24
879,Last night,TIME,24
880,Melania Trump,PERSON,24
881,James Bond,PERSON,24
882,Reid,PERSON,24
883,48 hours,TIME,24
884,May 18,DATE,24
885,Switzerland,GPE,24
886,PCR,ORG,23
887,Dublin City Council,ORG,23
888,the past year,DATE,23
889,250,CARDINAL,23
890,Underworld,ORG,23
891,Lebanon,GPE,23
892,Co Kerry,PERSON,23
893,Ireland,LOC,23
894,Uefa,GPE,23
895,Lucy-Jo Hudson,PERSON,23
896,tens of thousands,CARDINAL,23
897,FRANCE,GPE,23
898,Michael McGrath,PERSON,23
899,Alan Kelly,PERSON,23
900,Macron,PERSON,23
901,"300,000",CARDINAL,23
902,Leinster House,ORG,23
903,only one,CARDINAL,23
904,GARDAI,PERSON,23
905,255,CARDINAL,23
906,51,CARDINAL,23
907,55-year-old,DATE,23
908,just weeks,DATE,23
909,HUNDREDS,CARDINAL,23
910,Charlie Lawson,PERSON,23
911,Michelle O'Neill,PERSON,23
912,Bill,PERSON,23
913,British Airways,ORG,23
914,next Monday,DATE,23
915,decades,DATE,23
916,Defence Forces,ORG,23
917,Luke O'Neill,PERSON,23
918,80%,PERCENT,23
919,53-year-old,DATE,23
920,The United States,GPE,23
921,June 8,DATE,23
922,Grainne Gallanagh,PERSON,23
923,Briony,PERSON,23
924,Iceland,GPE,23
925,79,CARDINAL,22
926,the end of June,DATE,22
927,Maura Higgins,PERSON,22
928,THOUSANDS,CARDINAL,22
929,Catalonia,GPE,22
930,Twitter,PERSON,22
931,the Central Statistics Office,ORG,22
932,Trinity College Dublin,ORG,22
933,Slovakia,GPE,22
934,Strictly Come Dancing,WORK_OF_ART,22
935,Putin,PERSON,22
936,Joe McHugh,PERSON,22
937,last Friday,DATE,22
938,five months,DATE,22
939,Tenerife,GPE,22
940,The New York Times,ORG,22
941,Stormont,ORG,22
942,Auckland,GPE,22
943,Rita Ora,PERSON,22
944,Amanda Holden,ORG,22
945,Josh Tucker,PERSON,22
946,Mater Hospital,ORG,22
947,two weeks ago,DATE,22
948,48,CARDINAL,22
949,coming weeks,DATE,22
950,52,DATE,22
951,recent months,DATE,22
952,two million,CARDINAL,22
953,Coronation,NORP,22
954,Europa League,ORG,22
955,ten days,DATE,22
956,Vladimir Putin,PERSON,22
957,South Korean,NORP,22
958,Trinity College,ORG,22
959,Jack P. Shepherd,PERSON,22
960,Roy,PERSON,22
961,50th,ORDINAL,22
962,LOCKDOWN,ORG,22
963,Antony Cotton,PERSON,22
964,the World Health Organisation (WHO,ORG,22
965,Rory McIlroy,PERSON,22
966,Latest,ORG,22
967,Ireland,PERSON,22
968,Ryanair,ORG,22
969,seven years,DATE,22
970,Austrian,NORP,22
971,Manchester United,GPE,21
972,day,DATE,21
973,Jesy Nelson,PERSON,21
974,CHINA,GPE,21
975,Tánaiste,ORG,21
976,Cillian De Gascun,PERSON,21
977,this winter,DATE,21
978,Turkey,GPE,21
979,93,CARDINAL,21
980,BRITISH,NORP,21
981,69,CARDINAL,21
982,Laura Whitmore,PERSON,21
983,1918,DATE,21
984,59,DATE,21
985,Alex Bain,PERSON,21
986,41-year-old,DATE,21
987,New Year’s Eve,EVENT,21
988,European Union,ORG,21
989,Gabriel Scally,PERSON,21
990,The European Commission,ORG,21
991,74,CARDINAL,21
992,more than 100,CARDINAL,21
993,2012,DATE,21
994,the White House,FAC,21
995,Colm Henry,PERSON,21
