,text
32,"['live', 'update', 'fda', 'finalizes', 'pfizer', 'coronavirus', 'vaccine', 'approval', 'fox', 'news', 'food', 'drug', 'administration', 'fda', 'friday', 'formally', 'granted', 'emergency', 'approval', 'pfizer', 'biontech', 'coronavirus', 'vaccine', 'candidate', 'officially', 'paving', 'way', 'widespread', 'distribution', 'vaccine', 'recommended', 'go', 'health', 'care', 'worker', 'resident', 'staff', 'care', 'facility', 'first']"
33,"['u', 'government', 'agrees', 'buy', '100m', 'extra', 'dos', 'pfizer', 'vaccine', 'u', 'news', 'guardian', 'pfizer', 'biontech', 'plan', 'deliver', 'dos', 'california', 'warns', 'healthcare', 'system', 'may', 'overwhelmed']"
34,"['hacker', 'fraudsters', 'criminal', 'prospering', 'pandemic', 'star', 'crime', 'like', 'virus', 'pandemic', 'week', 'news', 'broke', 'hacker', 'gained', 'access', 'document', 'related', 'pfizer', 'biontech', 'vaccine']"
35,"['agus', 'new', 'human', 'trial', 'possible', 'vaccine', 'cbs', 'news', 'pfizer', 'biontech', 'announced', 'new', 'human', 'trial', 'potential', 'vaccine', 'united', 'state', 'david', 'agus', 'explains', 'testing', 'process', 'accelerated', 'trial']"
36,"['vaccine', 'rally', 'fade', 'reality', 'sink', 'business', 'time', 'good', 'morning', 'global', 'market', 'course', 'end', 'week', 'downbeat', 'note', 'extraordinary', 'rally', 'day', 'since', 'pfizer', 'biontech', 'announced', 'breakthrough', 'race', 'develop']"
37,"['pfizer', 'biontech', 'began', 'human', 'trial', 'possible', 'vaccine', 'successful', 'could', 'roll', 'september', 'chicago', 'tribune', 'human', 'test', 'successful', 'vaccine', 'could', 'ready', 'emergency', 'use', 'early', 'september']"
38,"['coronavirus', 'covid', 'vaccine', 'data', 'accessed', 'cyberattack', 'say', 'biontech', 'european', 'medicine', 'agency', 'said', 'target', 'cyber', 'attack']"
39,"['covid', 'vaccination', 'trigger', 'hope', 'skepticism', 'germany', 'news', 'reporting', 'berlin', 'beyond', 'dw', 'around', 'germany', 'watchful', 'eye', 'police', 'transporter', 'fanning', 'nursing', 'home', 'vaccination', 'center', 'cargo', 'vaccine', 'developed', 'biontech', 'american', 'partner', 'pfizer']"
40,"['pfizer', 'biontech', 'begin', 'vaccine', 'trial', 'pregnant', 'woman', 'national', 'woman', 'receive', 'vaccine', 'week', 'gestation', 'getting', 'two', 'shot', '21', 'day', 'apart', 'regimen', 'used', 'larger', 'clinical', 'trial']"
41,"['look', 'uk', 'vaccination', 'rollout', 'london', 'ap', 'british', 'regulator', 'become', 'first', 'authorize', 'vaccine', 'developed', 'american', 'drugmaker', 'pfizer', 'germany', 'biontech', 'emergency', 'use', 'trial']"
42,"['biontech', 'pfizer', 'vaccine', 'show', 'potential', 'human', 'trial', 'globe', 'mail', 'drug', 'one', '17', 'tested', 'human', 'frantic', 'global', 'race', 'find', 'vaccine', 'world', 'counting', 'end', 'coronavirus', 'pandemic']"
43,"['fosun', 'pharma', 'buy', '100', 'million', 'dos', 'biontech', 'vaccine', 'mainland', 'china', 'reuters', 'shanghai', 'fosun', 'pharmaceutical', 'group', 'co', 'ltd', 'wednesday', 'said', 'buy', 'least', '100', 'million', 'dos', 'vaccine', 'germany', 'biontech', 'se', 'use', 'mainland', 'china', 'next', 'year', 'vaccine', 'receives', 'approval']"
44,"['coronavirus', 'pfizer', 'vaccine', 'effective', 'south', 'african', 'uk', 'mutation', 'study', 'show', 'pfizer', 'inc', 'biontech', 'vaccine', 'appeared', 'lose', 'small', 'bit', 'effectiveness', 'engineered', 'virus', 'three', 'key', 'mutation', 'new', 'coronavirus', 'variant', 'found', 'south', 'africa', 'according', 'laboratory', 'study', 'conducted', 'u', 'drugmaker']"
45,"['got', 'vaccine', 'reuters', 'britain', 'tuesday', 'became', 'first', 'country', 'world', 'roll', 'vaccine', 'developed', 'pfizer', 'inc', 'biontech', 'se', 'initially', 'making', 'shot', 'available', '50', 'hospital']"
