,Country,Outlet,Month-Year,Ratio
148,USA,msnbc.com,Feb-2020,0.0006915629322268327
149,USA,washingtonpost.com,Feb-2020,0.0009076469253460404
150,International,wnd.com,Feb-2020,0.0031720856463124504
151,USA,apnews.com,Feb-2020,0.001005530417295123
152,USA,time.com,Feb-2020,0.00667302192564347
153,USA,newsweek.com,Feb-2020,0.0014478764478764478
154,International,abcnews.go.com,Feb-2020,0.0015455950540958269
155,Australia,abc.net.au,Feb-2020,0.0027958993476234857
156,UK,bbc.com,Feb-2020,0.0025136154168412233
157,USA,bostonglobe.com,Feb-2020,0.0026375282592313487
158,Australia,thewest.com.au,Feb-2020,0.0023228803716608595
159,UK,economist.com,Feb-2020,0.0033783783783783786
160,USA,latimes.com,Feb-2020,0.0008955223880597015
161,USA,usatoday.com,Feb-2020,0.0006978367062107466
162,Ireland,thejournal.ie,Feb-2020,0.0005189413596263622
163,New Zealand,rnz.co.nz,Feb-2020,0.0
164,USA,theatlantic.com,Feb-2020,0.0015600624024961
165,UK,morningstaronline.co.uk,Feb-2020,0.0
166,Australia,theage.com.au,Feb-2020,0.002703433360367667
167,USA,wsj.com,Feb-2020,0.002016942315449778
168,UK,thetimes.co.uk,Feb-2020,0.0010813733441470668
169,German,dw.com,Feb-2020,0.0032388663967611335
170,UK,theguardian.com,Feb-2020,0.0019665683382497543
171,USA,westernjournal.com,Feb-2020,0.0024009603841536613
172,UK,express.co.uk,Feb-2020,0.002614527679890872
173,Canada,vancouversun.com,Feb-2020,0.0007220216606498195
174,UK,dailymail.co.uk,Feb-2020,0.0011333585190782018
175,New Zealand,nzherald.co.nz,Feb-2020,0.0005825808330905913
176,Australia,sbs.com.au,Mar-2020,0.010706638115631691
177,USA,breitbart.com,Mar-2020,0.0034227039361095267
178,International,abcnews.go.com,Mar-2020,0.002926421404682274
179,Australia,afr.com,Mar-2020,0.002179440610243371
180,UK,scotsman.com,Mar-2020,0.0
181,Australia,abc.net.au,Mar-2020,0.003800675675675676
182,USA,washingtontimes.com,Mar-2020,0.0037328909166321027
183,USA,newsweek.com,Mar-2020,0.005706760316066725
184,UK,channel4.com,Mar-2020,0.007782101167315175
185,Australia,theage.com.au,Mar-2020,0.003922594142259414
186,USA,chicagotribune.com,Mar-2020,0.002297090352220521
187,UK,standard.co.uk,Mar-2020,0.002145922746781116
188,UK,walesonline.co.uk,Mar-2020,0.0011675423234092236
189,USA,msnbc.com,Mar-2020,0.006587615283267457
190,USA,nytimes.com,Mar-2020,0.002863961813842482
191,UK,dailystar.co.uk,Mar-2020,0.0019964064683569574
192,USA,npr.org,Mar-2020,0.0055658627087198514
193,France,france24.com,Mar-2020,0.005777007510109763
194,USA,theatlantic.com,Mar-2020,0.0024813895781637717
195,UK,telegraph.co.uk,Mar-2020,0.004342581423401689
196,Ireland,thejournal.ie,Mar-2020,0.0014955134596211367
197,International,euronews.com,Mar-2020,0.0018587360594795538
198,USA,latimes.com,Mar-2020,0.0020151133501259445
199,International,cnbc.com,Mar-2020,0.007512953367875648
200,USA,csmonitor.com,Mar-2020,0.0
201,UK,liverpoolecho.co.uk,Mar-2020,0.00047281323877068556
202,International,aljazeera.com,Mar-2020,0.005076142131979695
203,USA,time.com,Mar-2020,0.004389815627743635
204,USA,usatoday.com,Mar-2020,0.0031479538300104933
205,New Zealand,stuff.co.nz,Mar-2020,0.00395010395010395
206,UK,dailymail.co.uk,Mar-2020,0.0030098370283365146
207,Australia,9news.com.au,Mar-2020,0.006027397260273973
208,International,edition.cnn.com,Mar-2020,0.0038272279934390375
209,Ireland,rte.ie,Mar-2020,0.0012970168612191958
210,UK,itv.com,Mar-2020,0.007470651013874066
211,Australia,news.com.au,Mar-2020,0.003700540848277825
212,USA,slate.com,Mar-2020,0.0010845986984815619
213,Canada,macleans.ca,Mar-2020,0.004608294930875576
214,UK,bbc.com,Mar-2020,0.0022655188038060714
215,Ireland,irishtimes.com,Mar-2020,0.0034411562284927736
216,Australia,smh.com.au,Mar-2020,0.002472799208704253
217,USA,apnews.com,Mar-2020,0.002152852529601722
218,USA,westernjournal.com,Mar-2020,0.002976190476190476
219,Canada,cbc.ca,Mar-2020,0.005809128630705394
220,USA,inquirer.com,Mar-2020,0.00477326968973747
221,Canada,torontosun.com,Mar-2020,0.003092783505154639
222,USA,thehill.com,Mar-2020,0.004667081518357187
223,International,nbcnews.com,Mar-2020,0.0041841004184100415
224,Canada,thestar.com,Mar-2020,0.0022271714922048997
225,International,wnd.com,Mar-2020,0.006521739130434782
226,UK,thetimes.co.uk,Mar-2020,0.002483984834618904
227,UK,metro.co.uk,Mar-2020,0.0025926886180969665
228,International,rt.com,Mar-2020,0.005013927576601671
229,UK,thesun.co.uk,Mar-2020,0.002477829942618675
230,Canada,globalnews.ca,Mar-2020,0.004754358161648178
231,UK,mirror.co.uk,Mar-2020,0.003599801390268123
232,Ireland,irishexaminer.com,Mar-2020,0.0032441200324412004
233,Ireland,thesun.ie,Mar-2020,0.001111287505953326
234,Canada,ctvnews.ca,Mar-2020,0.004424778761061947
235,USA,cbsnews.com,Mar-2020,0.00932684509326845
236,Ireland,independent.ie,Mar-2020,0.002910360884749709
237,USA,huffpost.com,Mar-2020,0.0014251781472684087
238,Ireland,irishmirror.ie,Mar-2020,0.0024330900243309003
239,New Zealand,nzherald.co.nz,Mar-2020,0.0032458750338111983
240,UK,independent.co.uk,Mar-2020,0.0049130763416477706
241,USA,foxnews.com,Mar-2020,0.005112474437627812
242,USA,nypost.com,Mar-2020,0.0036214389183969096
243,Canada,theglobeandmail.com,Mar-2020,0.0020384391380314504
244,New Zealand,rnz.co.nz,Mar-2020,0.007009345794392523
245,German,dw.com,Mar-2020,0.010810810810810811
246,UK,morningstaronline.co.uk,Mar-2020,0.0
247,UK,news.sky.com,Mar-2020,0.0012845215157353885
248,New Zealand,scoop.co.nz,Mar-2020,0.0020909566126502874
249,International,news.yahoo.com,Mar-2020,0.007225288509784245
250,USA,wsj.com,Mar-2020,0.006306937631394534
251,International,upi.com,Mar-2020,0.003458498023715415
252,UK,economist.com,Mar-2020,0.003115264797507788
253,USA,washingtonpost.com,Mar-2020,0.003579952267303103
254,USA,businessinsider.com,Mar-2020,0.005642633228840125
255,International,reuters.com,Mar-2020,0.003065228052967141
256,Canada,vancouversun.com,Mar-2020,0.00267379679144385
257,USA,bostonglobe.com,Mar-2020,0.005745292052345995
258,Australia,thewest.com.au,Mar-2020,0.0023073373327180432
259,USA,politico.com,Mar-2020,0.00422237860661506
260,New Zealand,newshub.co.nz,Mar-2020,0.003328894806924101
261,UK,express.co.uk,Mar-2020,0.005188199389623601
262,UK,theguardian.com,Mar-2020,0.004379050621825188
263,Ireland,breakingnews.ie,Mar-2020,0.003389830508474576
264,USA,newsweek.com,Apr-2020,0.008963367108339828
265,UK,economist.com,Apr-2020,0.021352313167259787
266,France,france24.com,Apr-2020,0.011292346298619825
267,Ireland,rte.ie,Apr-2020,0.011806375442739079
268,New Zealand,newshub.co.nz,Apr-2020,0.00646830530401035
269,New Zealand,scoop.co.nz,Apr-2020,0.005120702267739576
270,USA,washingtontimes.com,Apr-2020,0.006389776357827476
271,USA,theatlantic.com,Apr-2020,0.001379310344827586
272,UK,metro.co.uk,Apr-2020,0.006729475100942127
273,International,edition.cnn.com,Apr-2020,0.008134805345729227
274,International,upi.com,Apr-2020,0.005997001499250375
275,UK,bbc.com,Apr-2020,0.0073937153419593345
276,USA,nypost.com,Apr-2020,0.007146377525874815
277,UK,liverpoolecho.co.uk,Apr-2020,0.004701457451810061
278,New Zealand,rnz.co.nz,Apr-2020,0.007309941520467836
279,New Zealand,stuff.co.nz,Apr-2020,0.007093635995135792
280,UK,dailymail.co.uk,Apr-2020,0.004520990312163617
281,UK,mirror.co.uk,Apr-2020,0.006979306967062569
282,Ireland,independent.ie,Apr-2020,0.0035190615835777126
283,Canada,cbc.ca,Apr-2020,0.01023391812865497
284,International,reuters.com,Apr-2020,0.0054216007989727494
285,Australia,theage.com.au,Apr-2020,0.009386916984452919
286,International,cnbc.com,Apr-2020,0.01264800861141012
287,USA,westernjournal.com,Apr-2020,0.005543237250554324
288,Australia,9news.com.au,Apr-2020,0.01461495222034851
289,USA,businessinsider.com,Apr-2020,0.011166253101736972
290,USA,latimes.com,Apr-2020,0.003607103218645949
291,USA,washingtonpost.com,Apr-2020,0.004606273305549463
292,USA,usatoday.com,Apr-2020,0.0
293,UK,channel4.com,Apr-2020,0.014150943396226415
294,Australia,abc.net.au,Apr-2020,0.011754827875734676
295,UK,independent.co.uk,Apr-2020,0.007878446820483961
296,USA,thehill.com,Apr-2020,0.008681135225375626
297,USA,slate.com,Apr-2020,0.006211180124223602
298,UK,itv.com,Apr-2020,0.009109311740890687
299,UK,thetimes.co.uk,Apr-2020,0.007967528562838245
300,Canada,globalnews.ca,Apr-2020,0.007281553398058253
301,UK,dailystar.co.uk,Apr-2020,0.006686649757897164
302,UK,standard.co.uk,Apr-2020,0.007803355442840421
303,UK,walesonline.co.uk,Apr-2020,0.0027378507871321013
304,UK,telegraph.co.uk,Apr-2020,0.008899876390605686
305,Ireland,irishtimes.com,Apr-2020,0.006559766763848397
306,Ireland,breakingnews.ie,Apr-2020,0.016042780748663103
307,International,wnd.com,Apr-2020,0.007722007722007722
308,Ireland,thesun.ie,Apr-2020,0.004796163069544364
309,International,euronews.com,Apr-2020,0.011869436201780416
310,Ireland,thejournal.ie,Apr-2020,0.0066090493136756485
311,Canada,thestar.com,Apr-2020,0.009174311926605505
312,USA,politico.com,Apr-2020,0.005083514887436456
313,USA,breitbart.com,Apr-2020,0.005549065420560747
314,Canada,torontosun.com,Apr-2020,0.006662965019433648
315,USA,cbsnews.com,Apr-2020,0.011138613861386138
316,USA,wsj.com,Apr-2020,0.00744324525493115
317,USA,bostonglobe.com,Apr-2020,0.0036850921273031824
318,New Zealand,nzherald.co.nz,Apr-2020,0.008264462809917356
319,UK,morningstaronline.co.uk,Apr-2020,0.0
320,USA,huffpost.com,Apr-2020,0.005437469105289174
321,International,nbcnews.com,Apr-2020,0.011509817197020988
322,USA,apnews.com,Apr-2020,0.005270457697642164
323,USA,msnbc.com,Apr-2020,0.020209580838323353
324,Canada,vancouversun.com,Apr-2020,0.008547008547008548
325,Canada,macleans.ca,Apr-2020,0.013215859030837005
326,International,rt.com,Apr-2020,0.013569321533923304
327,UK,express.co.uk,Apr-2020,0.007192744709684145
328,USA,time.com,Apr-2020,0.0030643513789581204
329,Ireland,irishexaminer.com,Apr-2020,0.008046817849305048
330,Australia,sbs.com.au,Apr-2020,0.01050420168067227
331,UK,thesun.co.uk,Apr-2020,0.0052721760906814285
332,German,dw.com,Apr-2020,0.015370705244122965
333,Ireland,irishmirror.ie,Apr-2020,0.0027739251040221915
334,International,news.yahoo.com,Apr-2020,0.010131994794571482
335,Canada,theglobeandmail.com,Apr-2020,0.009971953879713306
