,Brand,Vader
551,AstraZeneca,-0.3612
552,AstraZeneca,-0.34
553,Pfizer,0.5859
554,Pfizer,0.7269
555,Johnson & Johnson,0.836
556,Pfizer,0.4767
557,Johnson & Johnson,-0.2732
558,AstraZeneca,0.2519
559,Pfizer,0.2519
560,Biontech,0.4019
561,Pfizer,0.4019
562,AstraZeneca,0.3818
563,Pfizer,0.802
564,Moderna,0.0
565,Moderna,0.0
566,Biontech,0.0
567,Pfizer,0.0
568,Pfizer,0.0
569,AstraZeneca,-0.8834
570,AstraZeneca,0.2389
571,Moderna,-0.651
572,Biontech,0.4767
573,Pfizer,0.4767
574,AstraZeneca,-0.9607
575,AstraZeneca,0.0
576,Pfizer,0.6249
577,Sputnik V,0.4926999999999999
578,Moderna,0.4588
579,Pfizer,-0.1027
580,Moderna,-0.1027
581,AstraZeneca,0.5984
582,Johnson & Johnson,0.0
583,Moderna,0.0
584,Biontech,0.9477
585,Pfizer,0.9477
586,Biontech,0.836
587,Pfizer,0.836
588,Moderna,-0.5719
589,Pfizer,0.4767
590,Moderna,0.7645
591,Moderna,0.4019
592,AstraZeneca,0.5267
593,AstraZeneca,0.0
594,Pfizer,0.5594
595,AstraZeneca,0.4588
596,AstraZeneca,-0.2944
597,Biontech,-0.2944
598,Pfizer,-0.2944
599,Moderna,0.6249
600,Pfizer,-0.8176
601,Moderna,0.8399
602,Biontech,0.0
603,Pfizer,0.0
604,AstraZeneca,0.4404
605,AstraZeneca,-0.5574
606,Pfizer,-0.5574
607,Biontech,0.8176
608,Pfizer,0.8176
609,AstraZeneca,0.7391
610,Moderna,0.0
611,Johnson & Johnson,0.0
612,Moderna,0.5994
613,AstraZeneca,-0.4822
614,AstraZeneca,0.6808
615,Biontech,0.0
616,Pfizer,0.0
617,Pfizer,0.5106
618,Sputnik V,-0.7269
619,AstraZeneca,-0.4404
620,AstraZeneca,-0.8331
621,Johnson & Johnson,-0.8625
622,Pfizer,0.0
623,Sputnik V,0.5423
624,Moderna,-0.6597
625,Pfizer,-0.2263
626,Biontech,0.5936
627,Pfizer,0.5936
628,Moderna,0.5936
629,Biontech,-0.7003
630,Pfizer,-0.7003
631,AstraZeneca,0.5859
632,Pfizer,0.5859
633,Moderna,0.7783
634,Moderna,0.2263
635,Moderna,0.7351
636,Pfizer,0.25
637,Moderna,0.4019
638,Biontech,-0.5106
639,Pfizer,-0.5106
640,Moderna,-0.5106
641,Sputnik V,-0.5994
642,Moderna,-0.4939
643,Pfizer,0.6794
644,Moderna,0.25
645,AstraZeneca,0.2732
646,Sputnik V,0.5267
647,Biontech,0.6124
648,Pfizer,0.6124
649,Pfizer,0.5095
650,Sputnik V,-0.1761
651,AstraZeneca,-0.2263
652,Johnson & Johnson,0.0258
653,AstraZeneca,0.4678
654,Biontech,0.4678
655,Pfizer,0.4678
656,Sputnik V,0.4678
657,Moderna,-0.7783
658,Biontech,0.0258
659,Pfizer,0.0258
660,Biontech,0.3612
661,Pfizer,0.3612
662,Biontech,0.3167
663,Pfizer,0.3167
664,Moderna,0.3167
665,Pfizer,0.7783
666,Moderna,0.7783
667,Johnson & Johnson,0.7783
668,AstraZeneca,-0.2732
669,Pfizer,0.0
670,AstraZeneca,0.5423
671,Pfizer,0.5423
672,Moderna,0.5423
673,Sputnik V,0.5423
674,Pfizer,0.128
675,Pfizer,-0.1935
676,AstraZeneca,-0.4939
677,Moderna,0.4404
678,Pfizer,0.5267
679,AstraZeneca,-0.8316
680,Biontech,0.0
681,Pfizer,0.0
682,Moderna,0.4767
683,AstraZeneca,-0.8076
684,AstraZeneca,0.1754
685,Johnson & Johnson,0.1754
686,Pfizer,-0.5106
687,AstraZeneca,-0.8122
688,Biontech,0.0
689,Pfizer,0.0
690,Biontech,0.0
691,Pfizer,0.0
692,AstraZeneca,0.34
693,Johnson & Johnson,-0.5106
694,AstraZeneca,0.0
695,AstraZeneca,0.765
696,Moderna,0.5267
697,Sputnik V,0.3818
698,EpiVacCorona,0.3818
699,AstraZeneca,0.3919
700,Biontech,0.3919
701,Pfizer,0.3919
702,Moderna,0.3919
703,Pfizer,0.6705
704,Pfizer,0.128
705,Moderna,0.4767
706,AstraZeneca,0.0
707,Pfizer,-0.7964
708,Johnson & Johnson,-0.1779
709,Pfizer,0.5106
710,Pfizer,0.296
711,Moderna,0.296
712,Moderna,0.3094
713,Sputnik V,0.4767
714,AstraZeneca,-0.34
715,Pfizer,0.5574
716,Moderna,0.5574
717,Moderna,0.128
718,Moderna,-0.3182
719,AstraZeneca,-0.5574
720,Pfizer,0.0
721,Sputnik V,0.0
722,Biontech,0.7717
723,Pfizer,0.7717
724,Biontech,0.0
725,Pfizer,0.0
726,Pfizer,0.3818
727,AstraZeneca,0.4215
728,AstraZeneca,0.0
729,Johnson & Johnson,0.1531
730,AstraZeneca,0.4019
731,Pfizer,-0.2263
732,AstraZeneca,-0.1154
733,Biontech,-0.1866
734,Pfizer,-0.1866
735,AstraZeneca,-0.6597
736,Moderna,0.7757
737,Pfizer,0.0
738,AstraZeneca,-0.5483
739,Biontech,-0.5483
