,Period,Vader
155,2020-06-04,0.019589814814814813
156,2020-06-05,0.014498039215686272
157,2020-06-06,-0.017716326530612246
158,2020-06-07,-0.009481538461538463
159,2020-06-08,0.03128783783783783
160,2020-06-09,0.03299420289855072
161,2020-06-10,0.06367066666666667
162,2020-06-11,0.10637894736842105
163,2020-06-12,0.1771220588235294
164,2020-06-13,0.08933387096774192
165,2020-06-14,-0.03064655172413793
166,2020-06-15,0.037696825396825395
167,2020-06-16,0.06283563218390804
168,2020-06-17,0.072212
169,2020-06-18,0.1375712121212121
170,2020-06-19,0.26155438596491226
171,2020-06-20,0.2652702702702703
172,2020-06-21,0.12227142857142856
173,2020-06-22,0.04424464285714286
174,2020-06-23,0.22342584269662924
175,2020-06-24,0.1732922222222222
176,2020-06-25,0.13487361111111112
177,2020-06-26,0.09433188405797101
