,entity,label,occurrences
325,100,CARDINAL,9
326,Tokyo,GPE,9
327,Indonesia,GPE,9
328,French,NORP,9
329,Hinshaw,PERSON,9
330,up to four months,DATE,9
331,The Globe and Mail Pfizer,ORG,9
332,60,CARDINAL,9
333,95%,PERCENT,9
334,11,CARDINAL,9
335,RCMP,ORG,9
336,The Globe and Mail Quebec,ORG,9
337,Global News,ORG,8
338,"500,000",CARDINAL,8
339,Costco,ORG,8
340,Twitter,PRODUCT,8
341,South Korea,GPE,8
342,earlier this month,DATE,8
343,early April,DATE,8
344,| CTV News Canada's,ORG,8
345,Indian,NORP,8
346,hundreds of thousands,CARDINAL,8
347,Prince Edward Island,GPE,8
348,July,DATE,8
349,The Globe and Mail Canadian,ORG,8
350,Ivan Semeniuk,PERSON,8
351,the National Advisory Committee on Immunization,ORG,8
352,The Globe and Mail Federal,ORG,8
353,19,CARDINAL,8
354,90 per cent,MONEY,8
355,CBC Sports,ORG,8
356,Horgan,PERSON,8
357,Manitobans,NORP,8
358,75,CARDINAL,8
359,70,DATE,8
360,2 million,CARDINAL,8
361,N.S.,GPE,8
362,Surrey,PERSON,8
363,Jessica Biel,PERSON,8
364,The Globe and Mail While,ORG,8
365,"100,000",CARDINAL,8
366,Jan. 21,DATE,8
367,Justin Trudeau’s,PERSON,8
368,The Star Ontario,WORK_OF_ART,8
369,The Globe and Mail There,ORG,8
370,Second,ORDINAL,8
371,Vancouver Sun Provincial,ORG,8
372,zero,CARDINAL,8
373,this winter,DATE,8
374,The Globe and Mail Researchers,ORG,8
375,night,TIME,8
376,House,ORG,8
377,coming weeks,DATE,8
378,The United States,GPE,8
379,Vladimir Putin,PERSON,8
380,Patty Hajdu,PERSON,8
381,two weeks,DATE,8
382,500,CARDINAL,8
383,last year's,DATE,8
384,the end of this year,DATE,7
385,Toronto Sun OTTAWA —,ORG,7
386,8 p.m. Saturday,TIME,7
387,the week,DATE,7
388,March 15,DATE,7
389,GlaxoSmithKline,PERSON,7
390,the new year,DATE,7
391,95 per cent,MONEY,7
392,New York City,GPE,7
393,Reuters,ORG,7
394,Trump’s,ORG,7
395,May,DATE,7
396,two million,CARDINAL,7
397,the end of 2021,DATE,7
398,Belgium,GPE,7
399,Moderna Inc.,ORG,7
400,25,CARDINAL,7
401,Deena Hinshaw,PERSON,7
402,AHS,ORG,7
403,Tokyo Games,EVENT,7
404,30,CARDINAL,7
405,weekly,DATE,7
406,evening,TIME,7
407,Ekaterina Baker,PERSON,7
408,4 million,CARDINAL,7
409,Adrian Dix,PERSON,7
410,McMaster University,ORG,7
411,Scott Moe,PERSON,7
